,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
6075,觱,入,質,pjit,E,bì,bit1,필,6,0
6076,觳,入,屋,huwk,E,hú,huk6,곡,1,0
6077,觴,平,陽,syang,L,shāng,soeng1,상,11,1
6078,觵,平,庚,kwaeng,L,gōng,gwang1,굉,12,1
6079,觸,入,燭,tsyhowk,E,chù,zuk1,촉,1,0
6080,言,平,元,ngjon,L,yán,jin4,언,6,1
6081,訂,平,青,theng,L,dìng,ding3,정,12,1
6082,訃,去,遇,phju,H,fù,fu6,부,4,0
6083,計,去,霽,kej,H,jì,gai3,계,5,0
6084,訊,去,震,sin,H,xùn,seon3,신,6,0
6085,訌,平,東,huwng,L,hóng,hung6,홍,1,1
6086,討,上,晧,thaw,X,tǎo,tou2,토,8,0
6087,訏,平,虞,xju,L,xū,heoi1,우,4,1
6088,訐,去,祭,kjej,H,jié,kit3,알,5,0
6089,訓,去,問,xjun,H,xùn,fan3,훈,6,0
6090,訕,平,刪,sraen,L,shàn,saan3,산,7,1
6091,訖,入,迄,kj+t,E,qì,ngat6,흘,6,0
6092,託,入,鐸,thak,E,tuō,tok3,탁,11,0
6093,記,去,志,ki,H,jì,gei3,기,3,0
6094,訛,平,戈,ngwa,L,é,ngo4,와,9,1
6095,訝,去,禡,ngae,H,yà,ngaa6,아,10,0
6096,訟,平,鍾,zjowng,L,sòng,zung6,송,1,1
6097,訢,平,欣,xj+n,L,xīn,jan1,흔,6,1
6098,訣,入,屑,kwet,E,jué,kyut3,결,7,0
6099,訥,入,沒,nwot,E,nè,neot6,눌,6,0
6100,訪,去,漾,phjang,H,fǎng,fong2,방,11,0
6101,設,入,薛,syet,E,shè,cit3,설,7,0
6102,許,上,語,xjo,X,xǔ,heoi2,허,4,0
6103,訴,去,暮,su,H,sù,sou3,소,4,0
6104,訶,平,歌,xa,L,hē,ho1,가,9,1
6105,診,上,軫,tsyin,X,zhěn,can2,진,6,0
6106,註,去,遇,tsyu,H,zhù,zyu3,주,4,0
6107,訾,平,支,tsje,L,zǐ,zi2,자,3,1
6108,詁,上,姥,ku,X,gǔ,gu2,고,4,0
6109,詆,平,齊,dej,L,dǐ,dai2,저,5,1
6110,詈,去,寘,lje,H,lì,lei6,이,3,0
6111,詎,上,語,gjo,X,jù,geoi6,거,4,0
6112,詐,去,禡,tsrae,H,zhà,zaa3,사,10,0
6113,詑,平,支,ye,L,tuó,to4,이,3,1
6114,詒,平,之,yi,L,yí,ji4,이,3,1
6115,詔,去,笑,tsyew,H,zhào,ziu3,조,8,0
6116,評,平,庚,bjaeng,L,píng,ping4,평,12,1
6117,詗,上,迥,xweng,X,xiòng,gwing2,형,12,0
6118,詘,入,物,khjut,E,qū,wat1,굴,6,0
6119,詛,去,御,tsrjo,H,zǔ,zo3,저,4,0
6120,詞,平,之,zi,L,cí,ci4,사,3,1
6121,詠,去,映,hjwaeng,H,yǒng,wing6,영,12,0
6122,詡,上,麌,xju,X,xǔ,heoi2,후,4,0
6123,詢,平,諄,swin,L,xún,seon1,순,6,1
6124,詣,去,霽,ngej,H,yì,ngai6,예,5,0
6125,試,去,志,syi,H,shì,si3,시,3,0
6126,詨,平,肴,kaew,L,jiāo,haau6,효,8,1
6127,詩,平,之,syi,L,shī,si1,시,3,1
6128,詫,去,禡,trhae,H,chà,caa3,타,10,0
6129,詬,上,厚,kuw,X,gòu,gau3,구,14,0
6130,詭,上,紙,kjwe,X,gǔi,gwai2,궤,3,0
6131,詮,平,仙,tshjwen,L,quán,cyun4,전,7,1
6132,詰,入,質,khjit,E,jié,kit3,힐,6,0
6133,話,去,夬,hwaej,H,huà,waa6,화,5,0
6134,該,平,咍,koj,L,gāi,goi1,해,5,1
6135,詳,平,陽,yang,L,xiáng,coeng4,상,11,1
6136,詵,平,臻,srin,L,shēn,san1,선,6,1
6137,詹,平,鹽,tsyem,L,zhān,zim1,첨,16,1
6138,詼,平,灰,khwoj,L,hūi,fui1,회,5,1
6139,誄,上,旨,lwij,X,lěi,loi6,뇌,3,0
6140,誅,平,虞,trju,L,zhū,zyu1,주,4,1
6141,誇,平,麻,khwae,L,kuā,kwaa1,과,10,1
6142,誌,去,志,tsyi,H,zhì,zi3,지,3,0
6143,認,去,震,nyin,H,rèn,jing6,인,6,0
6144,誑,去,漾,kjwang,H,kuáng,gwong2,광,11,0
6145,誓,去,祭,dzyej,H,shì,sai6,서,5,0
6146,誕,上,旱,dan,X,dàn,daan3,탄,7,0
6147,誖,去,隊,bwoj,H,bó,bui6,패,5,0
6148,誘,上,有,yuw,X,yòu,jau5,유,14,0
6149,誚,平,宵,dzjew,L,qiào,ciu3,초,8,1
6150,語,上,語,ngjo,X,yǔ,jyu5,어,4,0
6151,誠,平,清,dzyeng,L,chéng,sing4,성,12,1
6152,誡,去,怪,keaj,H,jiè,gaai3,계,5,0
6153,誣,平,虞,mju,L,wū,mou4,무,4,1
6154,誤,去,暮,ngu,H,wù,ng6,오,4,0
6155,誥,去,号,kaw,H,gào,gou3,고,8,0
6156,誦,去,用,zjowng,H,sòng,zung6,송,1,0
6157,誨,去,隊,xwoj,H,hùi,fui3,회,5,0
6158,說,去,祭,sywej,H,shuō,syut3,설,5,0
6159,誰,平,脂,dzywij,L,shúi,seoi4,수,3,1
6160,課,平,戈,khwa,L,kè,fo3,과,9,1
6161,誶,去,至,swij,H,sùi,seoi6,수,3,0
6162,誹,平,微,pj+j,L,fěi,fei2,비,3,1
6163,誼,去,寘,ngje,H,yì,ji4,의,3,0
6164,誾,平,眞,ngin,L,yín,ngan4,은,6,1
6165,調,平,蕭,dew,L,diào,diu6,조,8,1
